A001	Abdurrahman Wahid cenderung memasukkan orangnya dan menggusur kader partai lain.	Abdurrahman Wahid cenderung memasukkan orangnya dan menggusur kader partai lain.
A002	Abstain itu kan artinya tidak setuju.	Ab-stEin itu kan artinya tidak setuju.
A003	Acara yang dimulai tepat setelah Dzuhur itu dibuka oleh Abdul Syukur.	Acara yang dimulai tepat setelah zuhur itu dibuka olEh Ab-dul Syu-kur.
A004	Acung yang duduk di depan menodongkan pisau kepada Achmad Kalla.	Acung yang duduk di depan menodongkan pisau kepada Ah-mad Kal-la.
A005	Ada danau dan ferry kecil di Kampus Unsyiah.	Ada danau dan fErry kecil di Kampus Unsyiah.
A006	Ada informasi bahwa Abdus Syukur membeli senjata dari pasar gelap Cipacing.	Ada informasi bahwa Ab-dus Syu-kur membeli senjata dari pasar gelap Cipacing.
A007	Ada informasi dari Ucok bahwa langkah Jaksa Agung diboikot oleh stafnya.	Ada informasi dari Ucok bahwa langkah Jaksa Agung diboikot olEh stafnya.
A008	Ada keanehan pada biaya pemakaian PDAM bulan Januari sebanyak enam ribu lima ratus.	Ada keanEhan pada biaya pemakaian PE-DE-A-EM bulan Januari sebanyak enam ribu lima ratus.
A009	Ada kekhawatiran di hati Adi Solichin untuk melaksanakan Ijab kabul.	Ada kekhawatiran di hati Adi So-li-hin untuk melaksanakan Ijab kabul.
A010	Ada masalah apa dengan Abay Bachtiar? Tanya Haji Syakir.	Ada masalah apa dengan Abay Bah-ti-yar? Tanya Haji Sya-kir.
A011	Ada nomer telepon bagian pelayanan Bidang pemasaran PT Telkomsel?	Ada nomer telepon bagian pelayanan Bidang pemasaran PE-TE TElkomsEl?
A012	Ada survei jam dua dari Divisi Marketing ujar Adnan Buyung Nasution.	Ada survEy jam dua dari Divisi MarkEting ujar Adnan Buyung Nasution.
A013	Ada tipe Hongkong, Singapura dan Malaysia, atau Cina.	Ada tipe Hongkong, Singapura dan Malaysia, atau Cina.
A014	Adalah kewenangan Menkeu untuk mengetahui ada atau tidak sumbernya.	Adalah kewenangan MEnkeu untuk mengetahui ada atau tidak sumbernya.
A015	Adapun terhadap tersangka Buloggate lainnya dikenakan hukuman setimpal.	Adapun terhadap tersangka Bulog-gEit lainnya dikenakan hukuman setimpal.
A016	Ade Ahmad tidak setuju Ucok mengawini saudaranya.	AdE Ahmad tidak setuju Ucok mengawini saudaranya.
A017	Adis adalah panggilan akrab Khadijah untuk Megawati.	Adis adalah panggilan akrab Kha-di-jah untuk MEgawati.
A018	Adu mulut itu pun akhirnya dilerai oleh Amiruddin Zakaria.	Adu mulut itu pun akhirnya dilerai olEh Ami-rud-din Zakaria.
A019	Afan Gafar dan Adik Zakaria duduk di teras depan	Afan Gafar dan Adik Zakaria duduk di tEras depan
A020	Agfar menjalani tahanan di Mapolres Poso selama empat belas tahun.	Agfar menjalani tahanan di MapolrEs Poso selama empat belas tahun.
A021	Agung ditangkap sehari setelah pembukaan PRJ oleh Presiden Megawati Soekarnoputri.	Agung ditangkap sehari setelah pembukaan PE-ER-JE olEh PrEsidEn MEgawati Sukarnoputri.
A022	Agus Dwikarna dan Abdul Jamal Balfas bertemu di Bandara Ninoy Aquino bulan september lalu.	Agus Dwikarna dan Abdul Jamal Balfas bertemu di Bandara Ninoy Aquino bulan sEptEmber lalu.
A023	Agwunobi dan para pejabat kesehatan Florida lain tidak berpendapat.	Ag-wu-no-bi dan para pejabat kesEhatan Florida lain tidak berpendapat.
A024	Ah nggak, kamu lebay ujar Agnes Monica.	Ah engga, kamu lebay ujar Agnes Monica.
A025	Ah ngomong saudara kayak anak kecil saja! kata Istri Enjam.	Ah ngomong saudara kayak anak kecil saja! kata Istri enjam.
A026	Ahad malam atau ahad pagi atau ahad sore.	Ahad malam atau ahad pagi atau ahad sorE.
A027	Ahmad Fikri namanya bukan Ahmad Subagya.	Ahmad Fikri namanya bukan Ahmad Subagya.
A028	Ahmad Zaini memprotes akibat tindakan-tindakan represif TNI.	Ahmad Zaini memprotEs akibat tindakan-tindakan rEprEsif TE-EN-I.
A029	Air yang ada di sungai itu membludak ujar Arief Biki.	Air yang ada di sungai itu membludak ujar Ari-Ef Biki.
A030	Akbar mengaku tidak tahu nilai cek tersebut.	Akbar mengaku tidak tahu nilai cEk tersebut.
A031	Akbar mengiyakan tetapi Akhmad Kholid menolak.	Akbar mengiyakan tetapi Akh-mad Kho-lid menolak.
A032	Akbar Pastikan Tidak Ada Munaslub Golkar Kamis malam.	Akbar pastikan tidak ada munaslub Golkar Kamis malam.
A033	Akhir bulan lalu Bangau pergi ke rumah saudaranya di Tarakan.	Akhir bulan lalu Bangau pergi ke rumah saudaranya di Tarakan.
A034	Akibat longsornya danau itu Ahmad Azis tewas.	Akibat longsornya danau itu Ahmad Azis tEwas.
A035	Akibatnya bioskop juga mati, ucap Gunawan.	Akibatnya bioskop juga mati, ucap Gunawan.
A036	Akibatnya, bagian perut siswi SLTP itu robek.	Akibatnya, bagian perut siswi ES-EL-TE-PE itu robEk.
A037	Akibatnya, daerah-daerah aliran sungai dan danau kondisinya kian kritis.	Akibatnya, daErah daErah aliran sungai dan danau kondisinya kian kritis.
A038	Aksi pengerahan massa ke Ibu Kota dimotori Ahmad Fauzi alias Harun Zein.	Aksi pengerahan massa ke Ibu Kota dimotori Ahmad Fauzi alias Harun ZEin.
A039	Akte kelahiran anak saya bisa selesai berapa hari lagi? Tanya Istri Gofar.	Akte kelahiran anak saya bisa selesai berapa hari lagi? Tanya Istri Gofar.
