B001	Diakui Wahid dia menyodorkan bukti yang sangat kuat. Diakui Wahid dia menyodorkan bukti yang sangat kuat.	
B002	Dialog Nyaris Ricuh hingga akhirnya dialog gagal dilakukan.	Dialog nyaris ricuh hingga akhirnya dialog gagal dilakukan.
B003	Didampingi ibunya, Rosbiri Rining, Bangau mampu berjalan biasa.	Didampingi ibunya, Rosbiri Rining, Bangau mampu berjalan biasa.
B004	Diet ia jaga, dengan menu utama ayam, ikan, dan sayur-mayur.	DiEt ia jaga, dengan menu utama ayam, ikan, dan sayur-mayur.
B005	Dijelaskan, masuknya Hasyim membuat pusing Rutan Salemba.	Dijelaskan, masuknya Hasyim membuat pusing Rutan Salemba.
B006	Dilarang corat-coret di spanduk dan tembok.	Dilarang corat-corEt di spanduk dan tEmbok.
B007	Dimana alamat kantor pelayanan?	Dimana alamat kantor pelayanan?
B008	Dinilai Eddy, Etnis Tionghoa harus lebih berperan aktif terjun dalam masalah-masalah bangsa.	Dinilai Eddy, Etnis Tionghoa harus lebih berperan aktif terjun dalam masalah-masalah bangsa.
B009	Dinilai Sri, DPRD asyik dengan mengejar jabatan dan uang.	Dinilai Sri, DE-PE-ER-DE asyik dengan mengejar jabatan dan uang.
B010	Dipo Alam menilai konflik elit merupakan wujud nafsu berkuasa.	Dipo Alam menilai konflik Elit merupakan wujud nafsu berkuasa.
B011	Disampaikan juga bahwa WBC akan memberikan bantuan kepada Indonesia.	Disampaikan juga bahwa WE-BE-CE akan memberikan bantuan kepada IndonEsia.
B012	Ditemukannya jenazah Sertu Roy Irawan di Banyuwangi jam sebelas tadi.	Ditemukannya jenazah Sertu Roy Irawan di Banyuwangi jam sebelas tadi.
B013	Ditetapkannya percakapan lokal zona tunggal akan menguntungkan konsumen Jakarta.	Ditetapkannya percakapan lokal zona tunggal akan menguntungkan konsumEn Jakarta.
B014	Djakfar Murod menjabat kepala Divisi sistem informasi.	Djakfar Murod menjabat kepala Divisi sistem informasi.
B015	Dokumen apa saja yang harus saya siapkan besok pagi?	DokumEn apa saja yang harus saya siapkan bEsok pagi?
B016	Dua puluh satu orang dari BEM UI dan IPB unjuk rasa di Istana Merdeka.	Dua puluh satu orang dari BEM UI dan I-PE-BE unjuk rasa di Istana MerdEka.
B017	Dua wanita tadi bekerja di Korps Wanita Indonesia yang berkantor di Jalan Kyai Maja.	Dua wanita tadi bekerja di Korps Wanita IndonEsia yang berkantor di Jalan Kyai Maja.
B018	Dufan tetap dibuka seperti biasanya ujar Yuwono.	Dufan tetap dibuka seperti biasanya ujar Yuwono.
B019	Dukungan IMF cukup besar terhadap kita ujar Emir Qatar.	Dukungan I-EM-EF cukup besar terhadap kita ujar Emir Qatar.
B020	Dulu Glenn Yusuf diganti karena dinilai lamban.	Dulu GlEnn Yusuf diganti karena dinilai lamban.
B021	Dulu orang skeptis terhadap dia sebagai Dubes Filipina.	Dulu orang skEptis terhadap dia sebagai Dubes Filipina.
B022	Eh Avi ejek Ratna Dewi.	Eh Avi EjEk Ratna DEwi.
