C001	Delapan dua delapan tiga.	Delapan dua delapan tiga.
C002	Delapan empat delapan lima.	Delapan empat delapan lima.
C003	Demikian bunyi imbauan para pemimpin ASEAN.	Demikian bunyi imbauan para pemimpin A-SE-AN.
C004	Demikian pernyataan pers Forum Asia di Bangkok.	Demikian pernyataan pErs Forum Asia di Bangkok.
C005	Dengan alasan PLN sedang pailit.	Dengan alasan PE-EL-EN sedang pai-lit.
C006	Dengan bekal berupa peralatan kedokteran seberat enam kwintal.	Dengan bekal berupa peralatan kedokteran seberat enam kwintal.
C007	Dengan bujuk rayunya yang manis Syachrial berhasil membawanya ke Danau Sunter.	Dengan bujuk rayunya yang manis Syah-ri-yal berhasil membawanya ke Danau Sunter.
C008	Dengan cara memperpanjang birokrasi pengurusan berbagai izin dan dokumen.	Dengan cara memperpanjang birokrasi pengurusan berbagai izin dan dokumEn.
C009	Dengan manajemen baru perubahan yang komprehensif dapat dilakukan.	Dengan manajemEn baru perubahan yang kom-prE-hEnsif dapat dilakukan.
C010	Dengan moderator sosiolog Hotman Siahaan jelas Vidjongtius.	Dengan moderator sosiolog Hutman Sia-ha-an jelas Vi-jong-ti-yus.
C011	Dengan skema ini Denmark kecewa.	Dengan skEma ini DEnmark kecEwa.
C012	Denmark sudah pernah lolos ke Piala Dunia dua kali kata Howard lagi.	DEnmark sudah pernah lolos ke Piala Dunia dua kali kata Ho-ward lagi.
C013	Depnakertrans bantah info perdagangan TKW.	DEp-na-ker-trans bantah info perdagangan TE-KA-WE.
C014	Desa Cihideung membawahkan tiga kampung.	DEsa Cihideung membawahkan tiga kampung.
C015	Di bulan Desember tidak ada biaya pemakaian PAM.	Di bulan DEsEmber tidak ada biaya pemakaian PAM.
C016	Di Jepang, sabut kelapa asal Blitar digunakan sebagai media tanam.	Di Jepang, sabut kelapa asal Blitar digunakan sebagai mEdia tanam.
C017	Di kota mana saja saya bisa mendapatkan layanan teleconference?	Di kota mana saja saya bisa mendapatkan layanan tElEkonferens?
C018	Di lain fihak, di luar Frankfurt juga terjadi kerusuhan.	Di lain fihak, di luar Frang-furt juga terjadi kerusuhan.
C019	Di Lapangan Golf Taman Impian Jaya Ancol.	Di Lapangan Golf Taman Impian Jaya Ancol.
C020	Di mana di dalam  pesawat antara lain dipandu oleh radar.	Di mana di dalam  pesawat antara lain dipandu olEh radar.
C021	Di mana sistem GSM menguasai mayoritas pasar selulernya.	Di mana sistem GE-ES-EM menguasai mayoritas pasar sElulErnya.
C022	Di sepanjang Blora hingga Bojonegoro.	Di sepanjang Blora hingga Bojonegoro.
