D001	Prof Dr Jimly Asshiddiqie terpilih sebagai ketua umum Ikatan Cendekiawan Muslim Indonesia atau ICMI.	Prof DE-Er Jimli As-shid-diq terpilih sebagai ketua umum Ikatan Cendekiawan Muslim IndonEsia atau ICMI.
D002	Jimly Asshiddiqie juga merupakan ketua Dewan Kehormatan Penyelenggara Pemilu atau DKPP.	Jimli As-shid-diq juga merupakan ketua dEwan Kehormatan Penyelenggara Pemilu atau DE-KA-PE-PE.
D003	Pemilihan ketua umum dilakukan secara musyawarah mufakat di antara tujuh formatur yang terpilih.	Pemilihan ketua umum dilakukan secara musyawarah mufakat di antara tujuh formatur yang terpilih.
D004	"Ketujuh formatur itu adalah Ilham Habibie, Jimly Asshiddiqie, Zulkifli Hasan, Priyo Budi Santoso, Muhammad Nuh, Herry  Suhardiyanto dan Hatta Rajasa."	"Ketujuh formatur itu adalah Ilham Habibi, Jimli As-shid-diq, Zulkifli Hasan, Priyo Budi Santoso, Muhammad Nuh, Her-ri  Suhardiyanto dan Hat-ta Rajasa."
D005	"Pemilihan diawali dengan usulan nama dari peserta Muktamar Orwil, Orda, Orsat yang dibawa ke Majelis Permusyawaratan Muktamar."	"Pemilihan diawali dengan usulan nama dari peserta Muktamar Orwil, Orda, Orsat yang dibawa ke Majelis Permusyawaratan Muktamar."
D006	"Anggota Majelis Permusyawaratan Muktamar adalah presidium demisioner, ketua dewan penasihat, ketua dewan pakar."	"Anggota Majelis Permusyawaratan Muktamar adalah prEsidium dEmisionEr, ketua dEwan penasihat, ketua dEwan pakar."
D007	"Dengan ICMI, Indonesia sebagai model Islam yang rahmatan lil alamin menjadi model bagi negara-negara lain."	"Dengan ICMI, IndonEsia sebagai modEl Islam yang rahmatan lil alamin menjadi modEl bagi negara-negara lain."
D008	"Wakil Ketua MPR Oesman Sapta memberi sambutan dalam Rakernas APERSI tanggal dua belas Desember dua ribu lima belas di Makassar, Sulawesi Selatan."	"Wakil Ketua EM-PE-ER Usman Sapta memberi sambutan dalam Rakernas apErsi tanggal dua belas DEsEmber dua ribu lima belas di Makassar, Sulawesi Selatan."
D009	"Dikatakan Oesman Sapta bahwa saat ini seluruh masyarakat apakah itu pegawai negeri, anggota Polri dan TNI membutuhkan rumah."	"Dikatakan Usman Sapta bahwa saat ini seluruh masyarakat apakah itu pegawai negeri, anggota Polri dan TE-EN-I membutuhkan rumah."
D010	Ketua APERSI Edy Ganefo mengatakan pengembang rumah yang bernaung di organisasinya mencapai emapt ribu pengusaha.	Ketua apErsi Edi GanEfo mengatakan pengembang rumah yang bernaung di organisasinya mencapai empat ribu pengusaha.
D011	Panglima TNI Jenderal Gatot Nurmantyo mengungkapkan pada masa lalu ada kerajaan besar di nusantara seperti Sriwijaya dan Majapahit namun kerajaan itu punah.	Panglima TE-EN-I jEnderal Gatot Nurmantyo mengungkapkan pada masa lalu ada kerajaan besar di nusantara seperti Sriwijaya dan Majapahit namun kerajaan itu punah.
D012	"Diungkapkan negara-negara di kawasan equator seperti Indonesia, Afrika Tengah, Ghana, Brasil, dan lain sebagainya memiliki masa tanam yang panjang dan subur."	"Diungkapkan negara-negara di kawasan Ekuator seperti IndonEsia, Afrika Tengah, Ghana, Brasil, dan lain sebagainya memiliki masa tanam yang panjang dan subur."
D013	Seni budaya adalah karakter banga Indonesia yang sangat khas.	Seni budaya adalah karakter banga IndonEsia yang sangat khas.
D014	Akulturasi budaya satu daerah dan daerah lainnya sangat kuat dan saling mengisi membentuk ke-Bhinneka-an Indonesia.	Akulturasi budaya satu daErah dan daErah lainnya sangat kuat dan saling mengisi membentuk ke-BhinnEka-an IndonEsia.
D015	MPR RI melakukan gerakan Sosialisasi empat pilar MPR RI.	EM-PE-ER ER-I melakukan gerakan sosialisasi empat pilar EM-PE-ER ER-I.
D016	Pancasila sebagai dasar dan ideologi negara.	Pancasila sebagai dasar dan idEologi negara.
D017	UUD NRI Tahun 1945 sebagai konstitusi negara.	U-U-DE EN-ER-I Tahun 1945 sebagai konstitusi negara.
D018	NKRI sebagai bentuk negara.	EN-KA-ER-I sebagai bentuk negara.
D019	Bhinneka Tunggal Ika sebagai semboyan negara.	BhinnEka Tunggal Ika sebagai semboyan negara.
D020	Di tanah  Melayu ini akulturasi sosial dan budaya sangat tinggi terutama akulturasi budaya Melayu dan Jawa.	Di tanah  Melayu ini akulturasi sosial dan budaya sangat tinggi terutama akulturasi budaya Melayu dan Jawa.
