E001	Kekuasaan itu absurd klaim Irham kemarin siang.	Kekuasaan itu ab-surd klaim Irham kemarin siang.
E002	Kekuatan reformasi dan status quo itu ibarat minyak dan air.	Kekuatan rEformasi dan status quo itu ibarat minyak dan air.
E003	Kelelawar dan tupai mengganggu tanamannya keluh Novi.	Kelelawar dan tupai mengganggu tanamannya keluh Novi.
E004	Kelompok Front Pembela Proklamasi berdomisili di Kelurahan Dawuhan.	Kelompok Front PembEla Proklamasi berdomisili di Kelurahan Dawuhan.
E005	Kembali Jung-hwan mengancam dengan tendangan keras.	Kembali Jung-hwan mengancam dengan tendangan keras.
E006	Kembali ke Inggris tanpa kemenangan keluh Sri.	Kembali ke Inggris tanpa kemenangan keluh Sri.
E007	Kembali ke obrolan warung kopi tadi.	Kembali ke obrolan warung kopi tadi.
E008	Kemerdekaan Timor Lorosae juga diumumkan kemarin pagi.	Kemerdekaan Timor Loro-saE juga diumumkan kemarin pagi.
E009	Kemudian kemarin lusa mereka dibawa ke UNHCR.	Kemudian kemarin lusa mereka dibawa ke U-EN-HA-CE-ER.
E010	Kemudian muncul istilah lagu cengeng keluh Syofian.	Kemudian muncul istilah lagu cEngEng keluh Syofian.
E011	Kenaikan PBB akan mengakibatkan melonjaknya NJOP.	Kenaikan PE-BE-BE akan mengakibatkan melonjaknya EN-JE-O-PE.
E012	Kenaikan tarif feri Ketapang-Gilimanuk dimulai kemarin sore.	Kenaikan tarif fEri Ketapang-Gilimanuk dimulai kemarin sorE.
E013	Kenapa saudara tidak pakai otak? katanya disambut riuh wartawan.	Kenapa saudara tidak pakai otak? katanya disambut riuh wartawan.
E014	Kendaraan besar diharapkan melalui jalan alternatif jika menuju Banyuwangi.	Kendaraan besar diharapkan melalui jalan alternatif jika menuju Banyuwangi.
E015	"Kendati begitu, Puji enggan menyebut siapa tersangka yang dimaksudnya itu."	"Kendati begitu, Puji enggan menyebut siapa tersangka yang dimaksudnya itu."
E016	"Kendati demikian, Sulistio enggan menjelaskan mengenai alasan yang dimaksudkan."	"Kendati demikian, Sulistio enggan menjelaskan mengenai alasan yang dimaksudkan."
E017	Kepada Koran Tempo Fakhruddin mengatakan bahwa pelakunya mahasiswa.	Kepada Koran TEmpo Fakhruddin mengatakan bahwa pelakunya mahasiswa.
E018	Kepentingan mereka yakni ukhuwah Islamiyah dan penegakan syariah.	Kepentingan mereka yakni ukhuwah Islamiyah dan penegakan sya-ri-ah.
E019	Kepolisian daerah dibom pada Kamis sore.	Kepolisian daErah dibom pada Kamis sorE.
E020	Kepolisian sektor dan Kepolisian wilayah saling bekerja sama.	Kepolisian sEktor dan Kepolisian wilayah saling bekerja sama.
E021	Kerusakan terjadi karena sistem wesel rel yang tidak sempurna.	Kerusakan terjadi karena sistem wEsel rEl yang tidak sempurna.
E022	Kesal dengan sikap Srie Atidah yang dianggap mbalelo.	Kesal dengan sikap Sri Atidah yang dianggap mbalElo.
E023	Kesalahan yang dilakukan Golkar di masa lampau harus ditebus.	Kesalahan yang dilakukan Golkar di masa lampau harus ditebus.
E024	Kesibukan tidak pernah berhenti sepanjang hari sejak selepas dzuhur.	Kesibukan tidak pernah berhenti sepanjang hari sejak selepas dzuhur.
E025	Kesowo tersenyum usai pelantikan Kabinet Gotong Royong di Istana Negara.	Kesowo tersenyum usai pelantikan KabinEt Gotong Royong di Istana Negara.
E026	"Ketahuan bawa Ajinomoto, dua pedagang Bakso nyaris dikeroyok."	"Ketahuan bawa Ajinomoto, dua pedagang Bakso nyaris dikeroyok."
E027	Keterangan keluarga Fariz dan Polda berbeda.	Keterangan keluarga Fariz dan Polda berbEda.
E028	Ketiga pekerja itu bukan pegawai Mal Ciputra.	Ketiga pekerja itu bukan pegawai Mal Ciputra.
E029	Ketiganya warga Jalan Tirai Cipete Utara.	Ketiganya warga Jalan Tirai CipetE Utara.
E030	Ketika akan dibaiat Khotib Syuriah PBNU.	Ketika akan dibaiat Khotib Syu-ri-ah PE-BE-EN-U.
E031	"Ketika digerebek polisi, kesehatan sejumlah bayi mencemaskan."	"Ketika digerebek polisi, kesEhatan sejumlah bayi mencemaskan."
E032	Ketika ditanya tentang keberadaan Fariz saat itu.	Ketika ditanya tentang keberadaan Fariz saat itu.
E033	Ketika konvoi memasuki Kabul.	Ketika konvoi memasuki Kabul.
E034	Ketika menerima surat itu Dubes Qatar sempat bertanya.	"Ketika menerima surat itu, Dubes Qatar sempat bertanya."
E035	Ketika mereka mengklaim telah melakukan uji sohih.	Ketika mereka mengklaim telah melakukan uji sohih.
E036	Ketika orang GAM nggak mereka temukan.	Ketika orang GAM enggak merEka temukan.
E037	Ketika para malaikat menengok Kitab catatan amal manusia.	Ketika para malaikat menEngok Kitab catatan amal manusia.
E038	Ketika Presiden ngomong dekrit.	Ketika prEsiden ngomong dEkrit.
