G001	Pedagang Wonokromo Akan Dipindah ke Lokasi Baru.	Pedagang Wonokromo Akan Dipindah ke Lokasi Baru.
G002	Pelajar Ikuti Ebtanas di Pengungsian.	Pelajar Ikuti Ebtanas di Pengungsian.
G003	Pelaku Pasar Tak Terlampau Terpengaruh Hiruk-pikuk Politik.	Pelaku Pasar Tak Terlampau Terpengaruh Hiruk-pikuk Politik.
G004	Pelatih kepala klub Nusa Mashuri.	Pelatih kepala klub Nu-sa Mas-huri.
G005	Pelecehan seksual maupun verbal.	PelEcEhan sEksual maupun vErbal.
G006	Peluang-peluang cantik yang didapat Kewell.	Peluang-peluang cantik yang didapat Ki-well.
G007	Pemain bisa nyungsep sampai ke bawah.	Pemain bisa nyungsep sampai ke bawah.
G008	Pemakaian telepon bulan ini berapa?	Pemakaian telepon bulan ini berapa?
G009	Pemakaian telpon bulan ini berapa?	Pemakaian telpon bulan ini berapa?
G010	Pemalsu uang yang beredar rampok sebuah bank.	Pemalsu uang yang berEdar rampok sebuah bank.
G011	Pemasaran telpon seluler yang sudah tergilas oleh GSM ujar Yusuf Faisal.	Pemasaran telpon sElulEr yang sudah tergilas olEh GE-ES-EM ujar Yu-suf Fa-i-sal.
G012	Pembacaan pleidoi oleh penasihat hukum.	Pembacaan plEi-doi olEh penasihat hukum.
G013	Pembangunan lapangan golf dan Marina.	Pembangunan lapangan golf dan Marina.
G014	Pembentukan Pansus Bulog Kurang Proporsional.	Pembentukan Pansus Bulog Kurang Pro-por-si-o-nal.
G015	Pembentukan Pansus Bulog sudah kehilangan momentum dan relevansi.	Pembentukan Pansus Bulog sudah kehilangan momEntum dan rElEvansi.
G016	Pembentukan profesionalisme fungsi hakim dipegang oleh MA.	Pembentukan profEsionalisme fungsi hakim dipegang olEh MA.
G017	Pemberian vaksin itu harus melewati fase uji coba.	Pemberian vaksin itu harus melEwati fase uji coba.
G018	Pembuatannya berapa hari?	Pembuatannya berapa hari?
G019	Pembuatannya berapa lama?	Pembuatannya berapa lama?
G020	Pembukaan juga dilakukan oleh Taj Hamad.	Pembukaan juga dilakukan olEh Taj Ha-mad.
G021	Pemda DKI Diimbau Tuntaskan Soal Tawuran.	PEmda DE-KA-I Diimbau Tuntaskan Soal Tawuran.
G022	Pemda Imbau Warga Tinggalkan DPRD.	PEmda Imbau Warga Tinggalkan DE-PE-ER-DE.
G023	Pemerintah akan memberlakukan Nomor Pokok Wajib Zakat.	Pemerintah akan memberlakukan Nomor Pokok Wajib Zakat.
G024	Pemerintah Belum Punya Konsep Jelas Persaingan global.	Pemerintah Belum Punya konsEp Jelas persaingan global.
G025	Pemerintah harus melakukan langkah-langkah ofensif, melalui ekspansi APBN.	Pemerintah harus melakukan langkah-langkah ofEnsif, melalui Ekspansi A-PE-BE-EN.
G026	Pemerintah Singapura Belum Komplain Serangan Asap.	Pemerintah Singapura Belum KomplEin Serangan Asap.
G027	Pemilik warteg di Kebon Nanas.	Pemilik warteg di Kebon Nanas.
G028	Pemilik warteg harus putar otak menentukan strategi penjualan untuk warungnya.	Pemilik warteg harus putar otak menentukan stratEgi penjualan untuk warungnya.
G029	Pemimpin Umum dan Pemred Canang terpilih yaitu Eduardo Ermita melalui voting.	Pemimpin Umum dan pEmrEd Canang terpilih yaitu Eduardo Ermita melalui vo-ting.
G030	Pemkab Bogor menjalankan fungsi kontrol.	PEmkab Bogor menjalankan fungsi kontrol.
G031	Pemprov Jateng Menunda Hujan Buatan.	PEmprov Jateng Menunda Hujan Buatan.
G032	Pemprov Sulteng diharapkan bisa menyosialisasikan rencana tersebut kepada masyarakat.	PEmprov Sulteng diharapkan bisa menyosialisasikan rencana tersebut kepada masyarakat.
G033	Pemprov tetap mengambil langkah-langkah antisipatif.	PEmprov tetap mengambil langkah-langkah antisipatif.
G034	Penangkapan dengan pukat harimau.	Penangkapan dengan pukat harimau.
G035	Penangkapan pengedar heroin tidak berlaku untuk zona tunggal.	Penangkapan pengEdar hEroin tidak berlaku untuk zona tunggal.
G036	Penangkapan terhadap Dodo Juanda.	Penangkapan terhadap Dodo Ju-an-da.
G037	Penasihat hukum Klub Jalan-jalan.	Penasihat hukum Klub Jalan-jalan.
G038	Penderita Leptospirosis Bisa Klaim Biaya Pengobatan.	Penderita LEp-tos-pi-ro-sis Bisa Klaim Biaya Pengobatan.
G039	Penderitaan para korban yang lazim disebut jugun ianfu.	Penderitaan para korban yang lazim disebut ju-gun i-an-fu.
G040	Penduduk Fajar Harapan juga takut.	Penduduk Fajar Harapan juga takut.
G041	Penduduk menggunakan air payau dari sumur masyarakat.	Penduduk menggunakan air payau dari sumur masyarakat.
G042	Penduduk umumnya malas keluar rumah.	Penduduk umumnya malas keluar rumah.
G043	Penduduk Zimbabwe meninggalkan rumah menuju tempat pemilihan terdekat.	Penduduk ZimbabwE meninggalkan rumah menuju tempat pemilihan terdekat.
G044	Penegasan ibu sebagai janda permaisuri cuma begitu.	Penegasan ibu sebagai janda permaisuri cuma begitu.
G045	Pengacara Agfar yang menjenguk korban ledakan bom Slipi di UGD RSCM Jakarta.	Pengacara Ag-far yang menjenguk korban ledakan bom Slipi di U-GE-DE ER-ES-CE-EM Jakarta.
G046	Pengagep muncul seperti mulai saat panen seperti ini, katanya.	Pengagep muncul seperti mulai saat panEn seperti ini, katanya.
G047	Pengambilan aset hingga ke upaya paksa badan.	Pengambilan asEt hingga ke upaya paksa badan.
G048	Pengcab yang dalam struktur birokrasi ada di bawah.	PEngcab yang dalam struktur birokrasi ada di bawah.
G049	Pengelolaan lingkungan akan dibuat tata ruang atau zonasi.	Pengelolaan lingkungan akan dibuat tata ruang atau zonasi.
G050	Pengganti Duta Besar Brunei untuk Indonesia.	Pengganti Duta Besar BrunEi untuk IndonEsia.
G051	Penggunaan jalur alternatif hendaknya disertai pula dengan pengamanan oleh petugas.	Penggunaan jalur alternatif hendaknya disertai pula dengan pengamanan olEh petugas.
G052	Penghentian permusuhan ini bukan berdamai untuk berperang lagi.	Penghentian permusuhan ini bukan berdamai untuk berperang lagi.
G053	Pengungsi Timor Lorosae yang kembali ke kampung halamannya tidak dipaksa.	Pengungsi Timor LorosaE yang kembali ke kampung halamannya tidak dipaksa.
G054	Pengunjung meningkat sekitar lima atau enam ribu orang.	Pengunjung meningkat sekitar lima atau enam ribu orang.
G055	Penjelasan tentang aturan conference di Universitas Airlangga ungkap Mochtar.	Penjelasan tentang aturan konferens di UnivErsitas Airlangga ungkap Mokh-tar.
G056	Penjelasan tentang cara conference yang berskala besar ujar Yahya Zaini.	Penjelasan tentang cara konferens yang berskala besar ujar Yah-ya Zai-ni.
G057	Penyanyi cilik yang sedang populer datang untuk memeriahkan voli pantai ini urai dia.	Penyanyi cilik yang sedang populEr datang untuk memeriahkan voli pantai ini urai dia.
G058	Penyanyi Hetty Koes Endang nggak mau orang Jawa!	Penyanyi HEtty Kus Endang enggamau orang Jawa!
G059	Penyanyi pop lain yakni dari RRC serta Korea Utara dan Korea Selatan.	Penyanyi pop lain yakni dari ER-ER-CE serta KorEa Utara dan KorEa Selatan.
G060	Penyegaran visi yang disiapkan Panitia Ad-Hoc Khusus di DPR.	Penyegaran visi yang disiapkan Panitia Ad-Hok Khusus di DE-PE-ER.
G061	Penyewaan Pulau Wewenang Pemda, papar Rumsfeld dalam sebuah konferensi pers di Pentagon.	PenyEwaan Pulau Wewenang PEmda, papar Rums-feld dalam sebuah konferEnsi PErs di PEntagon.
G062	Penyewanya adalah seseorang bernama Leo Chandra.	PenyEwanya adalah seseorang bernama LEo Chan-dra.
G063	Penyu Hijau yang dulunya selalu singgah di pulau itu.	Penyu Hijau yang dulunya selalu singgah di pulau itu.
G064	Penyuluhan untuk merealisasi rencana tersebut sejalan dengan tekad Polri.	Penyuluhan untuk merEalisasi rencana tersebut sejalan dengan tEkad Polri.
G065	Perahu-perahu itu memang sering digunakan mahasiswa untuk alat transportasi.	Perahu-perahu itu MEmang sering digunakan mahasiswa untuk alat transportasi.
G066	Perdagangan Plat cetak cenderung flat.	Perdagangan Plat cEtak cenderung flat.
G067	Pergelaran wayang kulit padat Dewa Ruci oleh Ki Manteb.	Pergelaran wayang kulit padat DEwa Ruci olEh Ki Manteb.
G068	Peringkat satu dunia Peter Gade.	Peringkat satu dunia Piter Gade.
G069	Perjalanan Arsitek Dwifungsi ABRI.	Perjalanan Arsitek Dwifungsi ABRI.
G070	Perjanjian kerjasama PT Kharisma Petro Gemilang, PT Modern Indolife dan PT Dong Jun Indo.	Perjanjian kerjasama PE-TE Kharisma PEtro Gemilang, PE-TE Modern Indolaif dan PE-TE Dong Jun Indo.
G071	Perkembangan Shanghai juga membutuhkan dukungan dari daerah-daerah lain.	Perkembangan Shang-hai juga membutuhkan dukungan dari daErah-daErah lain.
G072	Perlawanan dari korps hakim sangat gencar.	Perlawanan dari korps hakim sangat gencar.
G073	Perlu adanya penjaminan selektif agar masyarakat ikut menanggung risiko.	Perlu adanya penjaminan sElEktif agar masyarakat ikut menanggung risiko.
G074	Perlu Konsensus Kolektif Negara Islam Gunakan Minyak sebagai Senjata Penekan.	Perlu KonsEnsus KolEktif Negara Islam Gunakan Minyak sebagai Senjata Penekan.
G075	Sepertinya kamu bakal perlu surat kuasa deh.	Sepertinya kamu bakal perlu surat kuasa dEh.
G076	Perlu Uang Tunai Besar untuk Melikuidasi BII.	Perlu Uang Tunai Besar untuk Meli-ku-i-dasi BE-I-I.
G077	Permainan judi berjenis togel semakin marak di Jatiuwung.	Permainan judi berjenis togEl semakin marak di Jatiuwung.
G078	Dengan hasil remis ini perpecahan partai jadi fenomena menakutkan.	Dengan hasil rEmis ini, perpecahan partai jadi FEnomena menakutkan.
G079	Perpu Otonomi Khusus Aceh Akan Diterbitkan.	PErpu Otonomi Khusus AcEh Akan Diterbitkan.
G080	Pers bungkam soal Yubert Neis yang kini bermain di klub Skotlandia.	PErs bungkam soal Yubert NEis yang kini bermain di klub Skot-lan-dia.
G081	Pers Jerman semuanya dituduh telah melanggar hukum dana kampanye federal.	PErs JErman semuanya dituduh telah melanggar hukum dana kampanye fEderal.
G082	Persiapan sidang APEC di Shanghai RRC.	Persiapan sidang APEC di Shang-hai ER-ER-CE.
G083	Personel Brimob dan Perintis melepaskan tembakan ke udara.	PersonEl Brimob dan Perintis melepaskan tEmbakan ke udara.
G084	Persyaratan islah kan sebaik-baiknya orang bercerai lebih baik bersatu, dia berharap.	persyaratan islah kan, sebaik-baiknya orang bercerai lebih baik bersatu, dia berharap.
G085	Film Cinta Elif bikin rating ANTV jadi meningkat di malam hari.	Filem Cinta Elif bikin reting AN-TEVE jadi meningkat di malam hari.
G086	Persyaratan membuat KTP di Rancaekek dibuat rumit oleh oknum.	persyaratan membuat KA-TE-PE di RancaEkEk dibuat rumit olEh oknum.
G087	Persyaratan mengurus KTP bisa pakai SMS?	persyaratan mengurus KA-TE-PE bisa pakai ES-EM-ES?
G088	Kalau minta tarif naik persyaratannya apa saja sih?	Kalau minta tarif naik, persyaratannya apa saja sih?
G089	Pertama, aku ingin mendengar bunyi gemercik air.	Pertama, aku ingin mendengar bunyi gemercik air.
G090	Pertemuan antar kepala sektor yakni untuk menyegel gedung PBB sedunia.	Pertemuan antar kepala sEktor yakni untuk menyEgel gedung PE-BE-BE sedunia.
G091	Perusahaan asuransi tersebut dinyatakan tidak pailit dan dapat beroperasi kembali.	Perusahaan asuransi tersebut dinyatakan tidak pailit dan dapat beroperasi kembali.
G092	Perusahan-perusahaan raksasa di negeri tersebut berani menghadapi krisis sefrontal mungkin.	Perusahan-perusahaan raksasa di negeri tersebut berani menghadapi krisis sefrontal mungkin.
G093	Pesawat itu akan dipindahkan ke Bandara Solo atau Yogyakarta.	Pesawat itu akan dipindahkan ke Bandara Solo atau Yogyakarta.
G094	Petani Brebes lebih suka memakai produk Pupuk Kujang.	Petani Brebes lebih suka memakai produk Pupuk Kujang.
G095	Petani diberi mesin pompa air yang tidak jelas mereknya.	Petani diberi mesin pompa air yang tidak jelas mEreknya.
G096	Petugas Polsek Tanjungpriok menggerebek gudang minuman keras tanpa izin.	Petugas PolsEk Tanjungpriok menggerebek gudang minuman keras tanpa izin.
G097	Peziarah ramai berdatangan menjelang bulan puasa.	Peziarah ramai berdatangan menjelang bulan puasa.
G098	Philipina juga mengklaim wilayah tersebut.	Filipina juga mengklaim wilayah tersebut.
G099	Pihak Depkeh sendiri membahas soal euthanasia sembilan puluh delapan orang.	Pihak DEpkEh sendiri membahas soal euthanasia sembilan puluh delapan orang.
G100	Pihak Ditjen meminta keterangan Syeis tentang kelengkapan dokumen, pembelian barang.	Pihak DitjEn meminta keterangan SyEis tentang kelengkapan dokumEn pembelian barang.
G101	Pihak Puslabfor Ofisial lalu memberikan ijin untuk memberikan obat.	Pihak Puslabfor Ofisial lalu memberikan ijin untuk memberikan obat.
G102	Pihaknya juga melakukan koordinasi ekstern dengan negara-negara Islam di dunia.	Pihaknya juga melakukan koordinasi Ekstern dengan negara-negara Islam di dunia.
G103	Pilih dialog Semasa hidupnya.	Pilih dialog Semasa hidupnya.
G104	Pilih perkosa atau nyawa ancam Felix sambil menodongkan pisau.	Pilih perkosa atau nyawa ancam Feliks sambil menodongkan pisau.
G105	Pilih sejago-jagonya pelatih untuk cabang golf.	Pilih sejago-jagonya pelatih untuk cabang golf.
G106	Pilihan disuplai ke Sarawak atau Jerman.	Pilihan disuplai ke Sarawak atau JErman.
G107	Kalau nggak pakai jilbab dia nggak ngerasa nyaman.	Kalau engga pakai jilbab dia engga ngerasa nyaman.
G108	Prasetyo Utomo Anderson dipilih sebagai kepala bagian pembangunan produk multimedia.	Prasetyo Utomo Anderson dipilih sebagai kepala bagian pembangunan produk multimEdia.
G109	Dengan tasawuf tersebut Hasyim Wahid merasa lebih yakin kepada Allah SWT.	Dengan tasawuf tersebut Hasyim Wahid merasa lebih yakin kepada Aw-loh ES-WE-TE.
G110	Kalau ia salah ngecek nilainya akan turun.	Kalau ia salah ngecEk nilainya akan turun.
G111	Pisau belati ngambilnya dimana ya?	Pisau belati ngambilnya dimana ya?
G112	Pisau untuk menakut-nakuti saksi.	Pisau untuk menakut-nakuti saksi.
G113	PKB Imbau Elite Politik Hentikan Konflik.	PE-KA-BE Imbau Elit Politik Hentikan Kon-flik.
G114	PKS dengan mitra Telkom yang sama-sama meraih nilai empat ujar Yakob Muchsin.	PE-KA-ES dengan mitra TElkom yang sama-sama meraih nilai empat ujar Yakob Mukhsin.
G115	PLO ibarat negara dalam negara di Lebanon saat itu.	PE-EL-O ibarat negara dalam negara di Libanon saat itu.
G116	Pokoknya harus ngirit verbal dan ekonomi terhadap istrinya.	Pokoknya harus ngirit vErbal dan Ekonomi terhadap istrinya.
