I001	Termasuk terhadap penyelewengan-penyelewengan yang terjadi di lingkungan Pemda DKI.	Termasuk terhadap penyelEwEngan-penyelEwEngan yang terjadi di lingkungan PEmda DE-KA-I.
I002	Ternyata kendaraan itu disewa oleh beberapa orang.	Ternyata kendaraan itu disEwa olEh beberapa orang.
I003	Terorisme khususnya merusak tertib sosial tegas Drajad Hadiwijoyo.	TErorisme khususnya merusak tertib sosial, tegas Drajad Hadiwijoyo.
I004	Terus kelihatan ada asap ngepul dari sayap.	Terus kelihatan ada asap ngepul dari sayap.
I005	Terus untuk pembayarannya sendiri kapan?	Terus untuk pembayarannya sendiri kapan?
I006	Terutama daging sapi yang relatif empuk dibanding daging kerbau.	Terutama daging sapi yang rElatif empuk dibanding daging kerbau.
I007	Terutama untuk sub produk tetap harus melalui UUD.	Terutama untuk sub produk tetap harus melalui U-U-DE.
I008	Tetangga Enjam tampak tak gentar menghadapi lebatnya hujan dan petir.	Tetangga enjam tampak tak gentar menghadapi lebatnya hujan dan petir.
I009	Tetapi bagi Modern Grup, Fadel tetap dinyatakan pailit.	Tetapi bagi ModEren Grup, FadEl tetap dinyatakan pailit.
I010	Tetapi ia tidak memberikan detail lebih jauh, cuma ngomong-ngomong biasa.	Tetapi ia tidak memberikan de-ta-il lebih jauh, cuma ngomong-ngomong biasa.
I011	Tetapi kalau implementasi pada tingkat paling rendah seperti ini.	Tetapi kalau implemEntasi pada tingkat paling rendah seperti ini.
I012	Tetapi Ketua Fraksi PKB Taufikurrahman Saleh usai rapat Bamus mengatakan ya ya ya saja.	Tetapi Ketua Fraksi PE-KA-BE, Taufikurrahman SalEh usai rapat Bamus mengatakan ya ya ya saja.
I013	Tetapi makanan yang kita konsumsi pakai nasi tidak cukup gizinya.	Tetapi makanan yang kita konsumsi pakai nasi tidak cukup gizinya.
I014	Tetapi nggak bener, karena ini urusan ukhrowi.	Tetapi engga bener, karena ini urusan ukh-ro-wi.
I015	Tetapi Nyepi bagi Theo Waimuri adalah juga sebuah gerakan.	Tetapi nyepi bagi ThEo Waimuri adalah juga sebuah gerakan.
I016	Tetapi partai juga keberatan apabila amandemen terlampau jauh merombak tata kenegaraan Indonesia.	Tetapi partai juga keberatan apabila amandemEn terlampau jauh merombak tata kenegaraan IndonEsia.
I017	Tetapi prakarsa itu kadang diartikan sebagai egoisme sempit.	Tetapi prakarsa itu kadang diartikan sebagai Egoisme sempit.
I018	Theo Sambuaga terhuyung-huyung ke luar, dan berkata tidak apa eksekutif kotor!	ThEo Sambuaga terhuyung-huyung ke luar, dan berkata tidak apa Eksekutif kotor!
I019	Theo Syafei tidak lapor ke orangtuanya	ThEo Sya-fE-i tidak lapor ke orangtuanya
I020	Theo Tumion mengikuti rekrutmen calon hakim.	ThEo Tumion mengikuti rEkrutmen calon hakim.
I021	Tiadanya David Beckham dan Roy ketika meminum Vodka Jumbo usai syukuran kemenangan.	Tiadanya David BEkham dan Roy ketika meminum Vodka Jumbo usai syukuran kemenangan.
I022	Tiang pemancar terlihat patah dan menyender ke gedung di sebelahnya.	Tiang pemancar terlihat patah dan menyEndEr ke gedung di sebelahnya.
I023	Tiap akhir pekan Ancol tetap ramai pengunjung.	Tiap akhir pekan Ancol tetap ramai pengunjung.
I024	Tiba-tiba Mathias nyelonong ke depan mikrofon di atas panggung.	Tiba-tiba Ma-thi-yas nyelonong ke depan mikrofon di atas panggung.
I025	Tidak ada itu, tidak ada perbedaan makanan antar blok.	Tidak ada itu, tidak ada perbedaan makanan antar blok.
I026	Tidak ada maksud khusus, sergah Akbar.	Tidak ada maksud khusus, sergah Akbar.
I027	Uh kenapa tidak ada ojek motor dari dan ke desa ini.	Uh kenapa tidak ada ojEk motor dari dan ke dEsa ini.
I028	Tidak akan selesai-selesai gejolak di Aceh.	Tidak akan selesai-selesai gejolak di AcEh.
I029	Tidak benar informasi yang membuat kacau macam itu, jelas Syofian.	Tidak benar informasi yang membuat kacau macam itu, jelas Syo-fi-yan.
I030	Tidak boleh ada pengabaian hukum undang-undang khusus korupsi.	Tidak bolEh ada pengabaian hukum undang-undang khusus korupsi.
I031	Tidak boleh ngebut-ngebutan di jalan dan seterusnya.	Tidak bolEh ngebut-ngebutan di jalan dan seterusnya.
I032	Tidak boleh pakai kerudung tapi pakai lipstik, papar Tengku Syaiful Ahmad yang berasal dari Aceh.	Tidak bolEh pakai kerudung tapi pakai lipstik, papar Tengku Syaiful Ahmad yang berasal dari AcEh.
I033	Tidak hirau lagi dengan hak mereka yang paling mendasar.	Tidak hirau lagi dengan hak mereka yang paling mendasar.
I034	Tidak lucu Gubernur bank sentral ditahan terus seperti sekarang.	Tidak lucu Gubernur bank SEntral ditahan terus seperti sekarang.
I035	Tidak mirip warung nasi sunda, jawab Noval.	Tidak mirip warung nasi sunda, jawab Noval.
I036	Tidak perlu disiapkan Rantap Khusus untuk keperluan itu.	Tidak perlu disiapkan Rantap Khusus untuk keperluan itu.
I037	Tidak saja Ciamis tapi Ujungpangkah Gresik maupun Wonosobo yang akan rugi.	Tidak saja Ciamis tapi Ujungpangkah Gresik maupun Wonosobo yang akan rugi.
I038	Situasinya tidak seperti di Somalia atau Irak.	Situasinya tidak seperti di Somalia atau Irak.
I039	Tidak terus merecoki perjalanannya sebagai Bupati Sampang.	Tidak terus merEcoki perjalanannya sebagai Bupati Sampang.
I040	Tidak usah pakai skenario, timpal Sri Rossyati.	Tidak usah pakai skEnario, timpal Sri Ros-si-yati.
I041	Tiga dua tiga tiga tiga empat tiga lima tiga enam tiga tujuh tiga delapan tiga sembilan.	Tiga dua tiga tiga tiga empat tiga lima tiga enam tiga tujuh tiga delapan tiga sembilan.
I042	Tiga kali Wayn dan kapten tim melakukan protes.	Tiga kali WE-yin dan kaptEn tim melakukan protEs.
I043	Tiga pas walaupun memang condong ke optimis, ujar dia.	Tiga pas walaupun MEmang condong ke optimis, ujar dia.
I044	Kalau tiga ribu dua tidak terlampau besar angkanya.	Kalau tiga ribu dua tidak terlampau besar angkanya.
I045	Tim Azzurri tidak perlu khawatir terhadap Tim Ferrari.	Tim Azzurri tidak perlu khawatir terhadap Tim FErrari.
I046	Tim Ginseng melawan Tim Labfor lebih baik dengan selisih gol tiga nol.	Tim GinsEng melawan Tim Labfor lebih baik dengan selisih gol tiga nol.
I047	Tim itu akan menyurvei fasilitas dan persyaratan logistik di daerah.	Tim itu akan menyurvEi fasilitas dan persyaratan logistik di daErah.
I048	Timnya akan menerapkan strategi khusus, timpal Brenda.	Timnya akan menerapkan stratEgi khusus, timpal BrEnda.
I049	Timor LorosaE isyaratkan tak akan serahkan asEt.	Timor LorosaE isyaratkan tak akan serahkan asEt.
I050	Tindakan ini dinilai Zulfikar sebagai tindakan sewenang-wenang.	Tindakan ini dinilai Zulfikar sebagai tindakan sewenang-wenang.
I051	Tindakan Presiden untuk mengingatkan pers cetak melalui pengadilan.	Tindakan prEsidEn untuk mengingatkan PErs cetak melalui pengadilan.
I052	Tindakan-tindakan tersebut, ungkap Darwis, sama seperti gaya kelompok zionis.	Tindakan-tindakan tersebut, ungkap Darwis, sama seperti gaya kelompok zionis.
I053	Tinggal menunggu opini hukum dari pemerintah Indonesia.	Tinggal menunggu opini hukum dari pemerintah IndonEsia.
I054	Tinggal menunggu upacara penguburan pukul tujuh tepat.	Tinggal menunggu upacara penguburan pukul tujuh tepat.
I055	Titik supportnya tujuh lima enam empat sembilan lima belas.	Titik supportnya tujuh lima enam empat sembilan lima belas.
I056	TNI Klaim dua GAM Tewas ditembak.	TE-EN-I Klaim dua GAM tEwas ditEmbak.
I057	Toh, sampai saat ini, aparat belum mampu unjuk gigi.	Toh, sampai saat ini, aparat belum mampu unjuk gigi.
I058	Toha Amin tolong transfer aset pukul tujuh malam ya.	Toha Amin tolong transfer asEt pukul tujuh malam ya.
I059	Tolong tim Jihandak Brimob Polda Sulsel, Mbah.	Tolong tim Jihandak Brimob Polda Sulsel, Mbah.
I060	Tommy selalu terlihat berkonsultasi ke Elza, sebelum menjawab pertanyaan penyidik.	Tommy selalu terlihat berkonsultasi ke Elza, sebelum menjawab pertanyaan penyidik.
I061	Total nilai uang palsu menjadi tinjauan kami.	Total nilai uang palsu menjadi tinjauan kami.
